datetime,open,high,low,close,volume
2026-03-25 09:10:00+01:00,23028.25,23033.25,23011.35,23024.55,1387
2026-03-25 09:15:00+01:00,23023.55,23057.15,23019.95,23054.85,1197
2026-03-25 09:20:00+01:00,23054.55,23071.45,23023.85,23038.75,1226
2026-03-25 09:25:00+01:00,23038.25,23041.75,23005.35,23006.65,1132
2026-03-25 09:30:00+01:00,23007.55,23063.25,23006.05,23054.85,1145
2026-03-25 09:35:00+01:00,23054.65,23059.05,22981.35,23010.75,1510
2026-03-25 09:40:00+01:00,23009.75,23045.85,23009.75,23033.85,1064
2026-03-25 09:45:00+01:00,23034.35,23052.95,23010.85,23030.85,1222
2026-03-25 09:50:00+01:00,23029.35,23041.45,22970.55,22971.95,1200
2026-03-25 09:55:00+01:00,22972.95,22997.85,22969.45,22986.05,880
2026-03-25 10:00:00+01:00,22985.75,23026.65,22965.05,23018.55,964
2026-03-25 10:05:00+01:00,23018.05,23044.95,23016.05,23035.15,927
2026-03-25 10:10:00+01:00,23034.65,23055.75,23034.15,23046.35,818
2026-03-25 10:15:00+01:00,23045.35,23060.85,23032.65,23050.65,877
2026-03-25 10:20:00+01:00,23048.55,23051.05,22996.95,23001.15,1045
2026-03-25 10:25:00+01:00,23000.65,23000.95,22949.45,22969.75,959
2026-03-25 10:30:00+01:00,22971.35,23009.05,22971.35,22987.15,958
2026-03-25 10:35:00+01:00,22987.65,23007.85,22964.95,22979.95,990
2026-03-25 10:40:00+01:00,22979.45,22987.55,22950.15,22955.05,906
2026-03-25 10:45:00+01:00,22955.55,22957.55,22913.05,22925.85,1040
2026-03-25 10:50:00+01:00,22927.75,22957.05,22921.35,22943.85,974
2026-03-25 10:55:00+01:00,22943.35,23003.45,22935.15,22987.15,1015
2026-03-25 11:00:00+01:00,22984.85,23028.65,22984.85,23007.05,1140
2026-03-25 11:05:00+01:00,23007.35,23009.35,22974.45,22982.45,944
2026-03-25 11:10:00+01:00,22982.85,22998.15,22974.85,22993.95,647
2026-03-25 11:15:00+01:00,22994.85,23006.65,22977.05,23001.55,852
2026-03-25 11:20:00+01:00,23002.05,23013.05,22960.35,22971.65,865
2026-03-25 11:25:00+01:00,22970.65,22974.15,22957.45,22964.85,706
2026-03-25 11:30:00+01:00,22965.85,22972.55,22949.35,22962.55,775
2026-03-25 11:35:00+01:00,22962.05,22987.85,22960.25,22983.55,709
2026-03-25 11:40:00+01:00,22984.45,22998.35,22960.35,22962.25,679
2026-03-25 11:45:00+01:00,22961.75,22998.15,22953.45,22996.75,668
2026-03-25 11:50:00+01:00,22997.95,23016.95,22992.15,23012.65,772
2026-03-25 11:55:00+01:00,23013.65,23018.65,22995.05,22995.05,546
2026-03-25 12:00:00+01:00,22994.15,23023.85,22994.15,23022.85,755
2026-03-25 12:05:00+01:00,23023.25,23042.65,23019.65,23034.45,510
2026-03-25 12:10:00+01:00,23033.25,23033.35,23009.35,23019.55,620
2026-03-25 12:15:00+01:00,23020.05,23024.05,23009.65,23019.85,479
2026-03-25 12:20:00+01:00,23020.85,23049.45,23013.55,23042.55,534
2026-03-25 12:25:00+01:00,23043.05,23048.05,23014.85,23020.15,571
2026-03-25 12:30:00+01:00,23019.95,23035.85,23019.85,23022.95,528
2026-03-25 12:35:00+01:00,23023.95,23052.85,23023.85,23049.95,454
2026-03-25 12:40:00+01:00,23050.15,23051.15,23030.55,23047.95,488
2026-03-25 12:45:00+01:00,23047.65,23049.95,22966.55,22990.95,1053
2026-03-25 12:50:00+01:00,22991.45,23014.25,22968.55,23005.85,966
2026-03-25 12:55:00+01:00,23005.65,23035.65,23001.55,23032.15,765
2026-03-25 13:00:00+01:00,23032.65,23049.65,23026.45,23028.65,777
2026-03-25 13:05:00+01:00,23028.15,23083.65,23025.25,23070.65,807
2026-03-25 13:10:00+01:00,23070.85,23071.95,23044.15,23059.65,773
2026-03-25 13:15:00+01:00,23060.15,23065.65,22964.85,22970.15,1486
2026-03-25 13:20:00+01:00,22967.65,22992.45,22894.45,22939.65,1619
2026-03-25 13:25:00+01:00,22940.65,22972.65,22923.95,22939.45,1197
2026-03-25 13:30:00+01:00,22938.65,22938.65,22878.35,22919.95,1279
2026-03-25 13:35:00+01:00,22920.45,22989.35,22919.45,22988.85,1002
2026-03-25 13:40:00+01:00,22987.95,22992.95,22962.95,22963.45,904
2026-03-25 13:45:00+01:00,22963.95,22990.95,22946.65,22976.45,986
2026-03-25 13:50:00+01:00,22976.35,22991.45,22971.35,22990.35,858
2026-03-25 13:55:00+01:00,22990.85,23014.35,22988.35,22991.05,925
2026-03-25 14:00:00+01:00,22990.15,23033.55,22965.05,23029.45,1115
2026-03-25 14:05:00+01:00,23028.95,23031.95,23004.35,23009.25,835
2026-03-25 14:10:00+01:00,23009.85,23023.75,22982.15,22998.15,813
2026-03-25 14:15:00+01:00,22998.65,23015.55,22994.65,23013.55,696
2026-03-25 14:20:00+01:00,23014.25,23016.45,22997.55,23014.55,760
2026-03-25 14:25:00+01:00,23016.55,23016.55,23003.45,23009.95,763
2026-03-25 14:30:00+01:00,23011.45,23036.35,23002.95,23015.75,1384
2026-03-25 14:35:00+01:00,23016.05,23054.95,23002.55,23013.35,1342
2026-03-25 14:40:00+01:00,23014.35,23034.75,22981.85,22992.35,1237
2026-03-25 14:45:00+01:00,22992.85,23008.85,22960.85,22963.05,1352
2026-03-25 14:50:00+01:00,22964.05,22971.15,22936.55,22942.65,1353
2026-03-25 14:55:00+01:00,22942.35,22979.65,22939.55,22950.65,1335
2026-03-25 15:00:00+01:00,22948.45,22963.75,22907.55,22943.85,1537
2026-03-25 15:05:00+01:00,22944.35,22951.65,22902.45,22936.25,1460
2026-03-25 15:10:00+01:00,22936.55,22992.75,22928.95,22991.55,1118
2026-03-25 15:15:00+01:00,22991.05,23015.45,22984.45,22990.95,964
2026-03-25 15:20:00+01:00,22989.35,23005.25,22947.65,22955.35,1068
2026-03-25 15:25:00+01:00,22956.35,23020.35,22949.15,22998.25,1432
2026-03-25 15:30:00+01:00,22998.75,23025.35,22979.85,23024.05,1224
2026-03-25 15:35:00+01:00,23023.95,23024.35,22984.35,22997.95,1082
2026-03-25 15:40:00+01:00,22997.15,23015.65,22981.65,22994.35,1031
2026-03-25 15:45:00+01:00,22995.05,23020.65,22994.65,23019.15,880
2026-03-25 15:50:00+01:00,23018.25,23027.85,23003.05,23012.75,840
